linkID,eecaCircuit,avgPeakDemandW,avgDemandW,LoadFactor,CLF
rf_23,Hot water,268.633957729469,205.539077486776,0.765126937874946,0.149197793843994
rf_23,Other,2010.49792190016,995.659262999671,0.495230187583906,0.230509476206378
rf_23,Oven,78.9174927536232,19.4082176966424,0.245930490433014,0.46417689380669
rf_23,Total,2358.04937238325,1229.48734649159,0.521400171213956,0.218939803713085
rf_24,Hot water,78.287155,492.027407234275,6.28490596234178,0.0181633984383464
rf_24,Other,478.142133299067,67.6594780702544,0.141504948755342,0.806722677515143
rf_24,Oven,135.3565775,45.902274703604,0.339121124007468,0.336620879857188
rf_24,Total,692.321313750195,697.660280442247,1.00771168904671,0.113281658218674
rf_27,Heat Pump or Heating,653.559287037037,162.13532127148,0.248080510042988,0.460154048868133
rf_27,Hot water,229.995413043478,246.264492797128,1.07073654008297,0.106613762459911
