linkID,year,season,r_dateTime_nz,Heat Pump or Heating,Hot water,Lighting,Other,Oven,Total,contribution_HW,contribution_HP,contribution_LI,contribution_OV,contribution_XX
rf_23,2015,Autumn,2015-05-17T05:00:00Z,,276.679,,1415.17766666667,2051.79633333333,3743.653,0.0739061552980471,,,0.548073321254222,
rf_23,2015,Spring,2015-10-04T04:30:00Z,,1258.36266666667,,2549.92266666666,1493.64866666667,5301.934,0.237340311415923,,,0.281717702760289,
rf_23,2015,Summer,2015-02-17T05:30:00Z,,161.179,,711.25433333334,3023.23533333333,3895.66866666667,0.0413738984988969,,,0.776050427286508,
rf_23,2015,Winter,2015-08-05T06:30:00Z,,65.7306666666667,,3204.18,1958.338,5228.24866666667,0.0125722150680668,,,0.37456864140484,
rf_23,2016,Autumn,2016-04-02T05:00:00Z,,249.182333333333,,1910.162,1976.964,4136.30833333333,0.0602426882264177,,,0.477953730883216,
rf_23,2016,Spring,2016-09-09T06:30:00Z,,0,,4016.255,1253.76533333333,5270.02033333333,0,,,0.2379052174435,
rf_23,2016,Summer,2016-12-15T05:00:00Z,,0,,1602.61066666667,1900.68233333333,3503.293,0,,,0.542541641059806,
rf_23,2016,Winter,2016-08-25T05:30:00Z,,252.364333333333,,2916.98033333333,2294.63766666667,5463.98233333333,0.0461868867682405,,,0.419957006937615,
rf_23,2017,Autumn,2017-05-19T06:00:00Z,,0,,3828.87266666667,2113.568,5942.44066666667,0,,,0.355673387175034,
rf_23,2017,Spring,2017-09-03T09:00:00Z,,282.338333333333,,3949.374,0,4231.71233333333,0.0667196423323356,,,0,
rf_23,2017,Summer,2017-02-12T07:30:00Z,,1417.223,,1921.01533333333,0,3338.23833333333,0.424542186173047,,,0,
rf_23,2017,Winter,2017-07-06T07:00:00Z,,718.733333333333,,3229.51666666667,2317.008,6265.258,0.114717276340948,,,0.369818449615323,
rf_23,2018,Autumn,2018-05-23T06:30:00Z,,1028.22266666667,,1998.97633333333,2240.259,5267.458,0.19520282205699,,,0.425301729980571,
rf_23,2018,Summer,2018-01-01T06:00:00Z,,1232.146,,2779.01266666667,1944.36633333333,5955.525,0.206891248042784,,,0.326481096684731,
rf_23,2018,Winter,2018-07-26T05:00:00Z,,797.135,,3306.49633333334,977.679333333333,5081.31066666667,0.156875863786325,,,0.192406919684501,
rf_24,2014,Autumn,2014-05-31T05:00:00Z,,0,,343.92133333334,1720.78033333333,2064.70166666667,0,,,0.833428073950955,
rf_24,2014,Spring,2014-11-29T08:00:00Z,,3054.13966666667,,1876.72133333333,0,4930.861,0.619392772715895,,,0,
rf_24,2014,Summer,2014-12-09T08:00:00Z,,3073.048,,527.86333333333,0,3600.91133333333,0.853408405686932,,,0,
rf_24,2014,Winter,2014-06-21T06:00:00Z,,3037.41733333333,,1065.488,2131.272,6234.17733333333,0.487220233067907,,,0.341869004688777,
rf_24,2015,Autumn,2015-03-24T07:30:00Z,,3015.60166666667,,849.82066666666,0,3865.42233333333,0.780148042469186,,,0,
rf_24,2015,Spring,2015-10-24T07:30:00Z,,3020.82333333333,,679.43933333334,0,3700.26266666667,0.816380783057922,,,0,
rf_24,2015,Summer,2015-12-12T07:30:00Z,,3049.195,,908.46433333333,0,3957.65933333333,0.770454135432577,,,0,
rf_24,2015,Winter,2015-08-11T06:30:00Z,,3028.11133333333,,695.522333333337,516.246333333333,4239.88,0.71419741439223,,,0.121759656719844,
rf_24,2016,Autumn,2016-04-21T09:00:00Z,,3063.084,,1088.64833333333,0,4151.73233333333,0.737784556920297,,,0,
rf_24,2016,Spring,2016-09-02T05:00:00Z,,0,,839.23366666667,2057.28633333333,2896.52,0,,,0.710261394132728,
rf_24,2016,Summer,2016-12-21T08:00:00Z,,3100.046,,782.397,0,3882.443,0.798478174695675,,,0,
rf_24,2016,Winter,2016-07-20T08:00:00Z,,3038.65233333333,,944.51366666667,0,3983.166,0.762873637034793,,,0,
rf_24,2017,Autumn,2017-03-02T07:00:00Z,,3104.13133333333,,314.63866666667,0,3418.77,0.907967290380262,,,0,
rf_24,2017,Spring,2017-10-10T06:00:00Z,,3148.33933333333,,928.997,0,4077.33633333333,0.772155906687119,,,0,
rf_24,2017,Summer,2017-02-25T07:30:00Z,,2614.23966666667,,1483.33433333333,0,4097.574,0.637996938351002,,,0,
rf_24,2017,Winter,2017-07-09T05:30:00Z,,3088.941,,566.62266666667,1544.43933333333,5200.003,0.594026772676862,,,0.297007392752145,
rf_24,2018,Autumn,2018-04-22T07:30:00Z,,3118.81566666667,,649.11233333333,0,3767.928,0.827726980628789,,,0,
rf_24,2018,Summer,2018-02-24T07:00:00Z,,0,,1721.305,1158.97466666667,2880.27966666667,0,,,0.402382685292482,
rf_24,2018,Winter,2018-06-02T05:00:00Z,,3088.566,,826.397,2224.34733333333,6139.31033333333,0.503080286271026,,,0.362312248862263,
rf_27,2014,Spring,2014-09-28T06:30:00Z,1595.328,0,,2813.67733333333,1808.68566666667,6217.691,0,0.256578848964994,,0.290893462969882,
rf_27,2014,Summer,2014-12-19T04:30:00Z,0,1378.20233333333,,1270.83433333333,1817.57466666667,4466.61133333333,0.308556583611408,0,,0.406924742500543,
rf_27,2014,Winter,2014-08-12T05:30:00Z,1771.134,0,,2690.531,1677.72466666667,6139.38966666667,0,0.2884869826094,,0.273272223748192,
rf_27,2015,Autumn,2015-04-14T05:00:00Z,985.298666666667,1615.97033333333,,2720.87366666667,1326.92333333333,6649.066,0.243037192491897,0.14818602592705,,0.199565372540042,
rf_27,2015,Spring,2015-11-04T06:00:00Z,2042.566,0,,2170.66566666667,1981.86,6195.09166666667,0,0.32970714719045,,0.319908099288281,
rf_27,2015,Summer,2015-02-23T07:30:00Z,757.685333333334,918.107,,1576.61400000001,1836.10633333333,5088.51266666667,0.180427378321026,0.148901139285101,,0.360833597872541,
rf_27,2015,Winter,2015-06-22T05:30:00Z,1025.07966666667,1544.30133333333,,2632.32433333333,1604.624,6806.32933333333,0.226891949787129,0.150606827331502,,0.235754680888201,
rf_27,2016,Autumn,2016-04-25T06:00:00Z,0,0,,3677.523,481.135,4158.658,0,0,,0.115694774612387,
rf_27,2016,Summer,2016-01-30T04:30:00Z,975.319333333333,0,,956.752666666667,1879.219,3811.291,0,0.255902614975695,,0.49306626022521,
rf_28,2015,Autumn,2015-05-23T05:30:00Z,1348.84266666667,,129.443666666667,3197.90266666666,,4676.189,,0.288449133828139,0.0276814445837555,,
rf_29,2015,Autumn,2015-05-29T06:00:00Z,,3126.37733333333,368.098333333333,3090.29666666668,1810.62533333333,8395.39766666667,0.372391810068318,,0.0438452528335663,0.215668799171037,
rf_29,2015,Spring,2015-09-20T06:00:00Z,,3133.29066666667,449.74,2564.69266666666,0,6147.72333333333,0.509666830593657,,0.07315553671088,0,
rf_29,2015,Summer,2015-12-11T04:00:00Z,,2587.15,19.0406666666667,1209.31066666666,1685.34766666667,5500.849,0.470318309046476,,0.0034614050788645,0.30637955462269,
rf_29,2015,Winter,2015-08-09T09:00:00Z,,3135.975,496.196,3465.189,0,7097.36,0.441850913579134,,0.0699127562924806,0,
rf_29,2016,Autumn,2016-03-10T05:30:00Z,,3158.81133333333,105.634666666667,2406.73866666667,0,5671.18466666667,0.556993206710367,,0.0186265609172546,0,
rf_29,2016,Spring,2016-09-10T07:00:00Z,,3145.29166666667,292.241333333333,1747.19133333334,2013.49333333333,7198.21766666667,0.436954231216404,,0.0405991242369117,0.279721095773106,
rf_29,2016,Summer,2016-12-22T06:00:00Z,,3180.17466666667,14.864,2101.98333333333,868.550666666667,6165.57266666667,0.515795504910655,,0.0024108060684063,0.140871045338962,
rf_29,2016,Winter,2016-07-31T07:00:00Z,,3128.72866666667,182.014333333333,2672.86133333333,1485.781,7469.38533333333,0.418873645827886,,0.024368047062864,0.19891610001287,
rf_29,2017,Autumn,2017-05-20T07:00:00Z,,3183.363,111.659333333333,2975.61366666668,1715.36133333333,7985.99733333334,0.398618089529373,,0.0139818896341563,0.214796131495494,
