"","obsHalfHour","eecaCircuit","year","season","davgW"
"139",00:30:00,"Hot water",2015,"Spring",107.293169624349
"140",00:30:00,"Hot water",2015,"Summer",96.4150837099204
"141",00:30:00,"Hot water",2015,"Winter",126.806147451285
"142",00:30:00,"Hot water",2016,"Autumn",96.9945235868279
"143",00:30:00,"Hot water",2016,"Spring",103.969718795593
"144",00:30:00,"Hot water",2016,"Summer",97.7819073647871
"145",00:30:00,"Hot water",2016,"Winter",113.85758248444
"146",00:30:00,"Hot water",2017,"Autumn",86.5258322147651
"147",00:30:00,"Hot water",2017,"Spring",104.240736578906
"148",00:30:00,"Hot water",2017,"Summer",83.2182463994418
"149",00:30:00,"Hot water",2017,"Winter",104.746232733907
"150",00:30:00,"Hot water",2018,"Autumn",81.1971729874234
"151",00:30:00,"Hot water",2018,"Summer",64.0370010272214
"152",00:30:00,"Hot water",2018,"Winter",116.166154431756
"153",00:30:00,"Lighting",2014,"Autumn",22.285091954023
"154",00:30:00,"Lighting",2014,"Spring",33.329327238633
"155",00:30:00,"Lighting",2014,"Summer",32.4000277777778
"156",00:30:00,"Lighting",2014,"Winter",46.7751073124407
"157",00:30:00,"Lighting",2015,"Autumn",33.9577688222532
"158",00:30:00,"Lighting",2015,"Spring",32.4450244404181
"159",00:30:00,"Lighting",2015,"Summer",29.5491029341029
"160",00:30:00,"Lighting",2015,"Winter",40.6866464946335
"161",00:30:00,"Lighting",2016,"Autumn",33.8299776216498
"162",00:30:00,"Lighting",2016,"Spring",42.7366628386293
"163",00:30:00,"Lighting",2016,"Summer",33.230421221097
"164",00:30:00,"Lighting",2016,"Winter",44.5707539720915
"165",00:30:00,"Lighting",2017,"Autumn",36.6803241210277
"166",00:30:00,"Lighting",2017,"Spring",34.4914831976064
"167",00:30:00,"Lighting",2017,"Summer",26.3901434621769
"168",00:30:00,"Lighting",2017,"Winter",43.9836871985137
"169",00:30:00,"Lighting",2018,"Autumn",31.4969476793249
"170",00:30:00,"Lighting",2018,"Summer",11.074361218809
"171",00:30:00,"Lighting",2018,"Winter",49.2270786838341
"172",00:30:00,"Oven",2014,"Autumn",2.01093127147766
"173",00:30:00,"Oven",2014,"Spring",11.3951544435956
"174",00:30:00,"Oven",2014,"Summer",13.7272329218107
"175",00:30:00,"Oven",2014,"Winter",11.0648810861423
"176",00:30:00,"Oven",2015,"Autumn",8.62436100421477
"177",00:30:00,"Oven",2015,"Spring",2.08752574876104
"178",00:30:00,"Oven",2015,"Summer",9.4997289791969
"179",00:30:00,"Oven",2015,"Winter",3.25336168582376
"180",00:30:00,"Oven",2016,"Autumn",0.0145502986857825
"181",00:30:00,"Oven",2016,"Spring",0.851305626963725
"182",00:30:00,"Oven",2016,"Summer",2.70905391786344
"183",00:30:00,"Oven",2016,"Winter",4.57995130795131
"184",00:30:00,"Oven",2017,"Autumn",0.0499743827160493
"185",00:30:00,"Oven",2017,"Spring",1.37762191831228
"186",00:30:00,"Oven",2017,"Summer",2.23479366572593
"187",00:30:00,"Oven",2017,"Winter",2.67100332125604
"188",00:30:00,"Oven",2018,"Autumn",3.75639433551198
"189",00:30:00,"Oven",2018,"Summer",0.0541342673671921
"190",00:30:00,"Oven",2018,"Winter",7.45004588910134
"191",00:30:00,"Total",2014,"Autumn",614.661408199643
"192",00:30:00,"Total",2014,"Spring",488.405309581708
"193",00:30:00,"Total",2014,"Summer",454.605943884682
"194",00:30:00,"Total",2014,"Winter",623.617662540135
"195",00:30:00,"Total",2015,"Autumn",483.041344433912
"196",00:30:00,"Total",2015,"Spring",488.801914187222
"197",00:30:00,"Total",2015,"Summer",390.27551139492
"198",00:30:00,"Total",2015,"Winter",669.047980047853
"199",00:30:00,"Total",2016,"Autumn",440.936156932819
"200",00:30:00,"Total",2016,"Spring",478.963366107968
"201",00:30:00,"Total",2016,"Summer",475.392691911646
"202",00:30:00,"Total",2016,"Winter",594.443431831931
"203",00:30:00,"Total",2017,"Autumn",499.835421198495
"204",00:30:00,"Total",2017,"Spring",540.694632096913
"205",00:30:00,"Total",2017,"Summer",507.359346807532
"206",00:30:00,"Total",2017,"Winter",657.626255653222
"207",00:30:00,"Total",2018,"Autumn",545.771722755924
"208",00:30:00,"Total",2018,"Summer",512.527277541555
"209",00:30:00,"Total",2018,"Winter",846.466743696816
"210",00:30:00,"XX_Other",2014,"Autumn",272.457740206186
"211",00:30:00,"XX_Other",2014,"Spring",149.582020565665
"212",00:30:00,"XX_Other",2014,"Summer",136.944546713433
"213",00:30:00,"XX_Other",2014,"Winter",213.251178247294
"214",00:30:00,"XX_Other",2015,"Autumn",169.920840996074
"215",00:30:00,"XX_Other",2015,"Spring",173.773462365349
"216",00:30:00,"XX_Other",2015,"Summer",133.501396051742
"217",00:30:00,"XX_Other",2015,"Winter",247.98691673821
"218",00:30:00,"XX_Other",2016,"Autumn",160.338756587138
"219",00:30:00,"XX_Other",2016,"Spring",166.025999668081
"220",00:30:00,"XX_Other",2016,"Summer",172.784826441189
"221",00:30:00,"XX_Other",2016,"Winter",224.088881348196
"222",00:30:00,"XX_Other",2017,"Autumn",183.921427646248
"223",00:30:00,"XX_Other",2017,"Spring",190.814124557773
"224",00:30:00,"XX_Other",2017,"Summer",183.916174174691
"225",00:30:00,"XX_Other",2017,"Winter",250.543447355057
"226",00:30:00,"XX_Other",2018,"Autumn",194.497775225991
"227",00:30:00,"XX_Other",2018,"Summer",189.256129679356
"228",00:30:00,"XX_Other",2018,"Winter",304.479676412317
"229",01:00:00,"Heat Pump or Heating",2014,"Autumn",312.119935969868
"230",01:00:00,"Heat Pump or Heating",2014,"Spring",89.2447683858644
"231",01:00:00,"Heat Pump or Heating",2014,"Summer",33.5424658298466
"232",01:00:00,"Heat Pump or Heating",2014,"Winter",194.983100682594
"233",01:00:00,"Heat Pump or Heating",2015,"Autumn",61.0196066395281
"234",01:00:00,"Heat Pump or Heating",2015,"Spring",44.6478443715847
"235",01:00:00,"Heat Pump or Heating",2015,"Summer",6.71469985412108
"236",01:00:00,"Heat Pump or Heating",2015,"Winter",97.6917848377594
"237",01:00:00,"Heat Pump or Heating",2016,"Autumn",9.83222746630282
"238",01:00:00,"Heat Pump or Heating",2016,"Spring",13.9822180428135
"239",01:00:00,"Heat Pump or Heating",2016,"Summer",1.43893076493579
"240",01:00:00,"Heat Pump or Heating",2016,"Winter",51.7203891252099
